,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,crismiller12,Ecclesiastes 10:2 MAGA always! Sarcasm is my second language,Bluegrass State,3634,22075,69282,311,Starbucks will now directly pay for the killing of unborn human beings through abortion. https://t.co/1T1Z6GshZS,[]
1,fiveoneonefive1,"Apex Legends: orangloser
I.Q. 108
I have herpes :(",,5000,180,7292,0,"@StephTheMajor those are her fins, the Starbucks mascot is a double mermaid",[]
2,mirianlupitaa,⚡️HAPPINESS 행복,SoCAL805,30,21,484,940,Maybe Starbucks some flowers and a long ass nap will cheer me up,[]
3,EchoxxRose,49% of humanity deserves to die in a fire.,Chi town ,239,270,20745,4464,starbucks always makes me feel better,[]
4,sweetpeaxo97,10.13|08.23👶🏻 Mother of 2💘 Italian🇮🇹 Aquarius♒️ 25🤪 IG: Taylorspad97 Tiktok: Taylorspad97,,918,1030,22950,4464,starbucks always makes me feel better,[]
5,Funnysport3,Stand with Ukraine,,435,65,5918,4784,NOW: Starbucks will pay expenses for any employee forced to travel for an abortion.,[]
6,svckaafreee,🩺📚,,59,96,1250,1,how Starbucks never gives me light ice,[]
7,paula_span,"Veteran journalist, chronicler of aging and grandparenting, NYT columnist, Columbia J-School prof. https://t.co/WRtwFdNQY0",New York,1829,8457,103280,212,"BREAKING: It’s a clean sweep! Starbucks workers in Portland, OR have won all four of their union elections today.

@SBWorkersUnited won 9-0 at the South Grand store, giving the union at 37-2 overall victory in four stores today.",[]
8,rafblrmn,Life's simple. You make choices and you don't look back.,,239,319,10394,83,Cheers to always choosing chocolate. 🍫✨ Chocolate Cream Cold Brew. https://t.co/nOez4GjSah,[]
9,DrinkyMcGee,Fuck the police.,"Indianapolis, Indiana",1603,1691,63330,193,"The union steamrolls over Starbucks once again, winning all 4 vote counts today in Portland, Oregon

28th &amp; Powell: 14-2
5th &amp; Oak: 5-0
23rd &amp; Burnside: 7-2
Grand &amp; Lloyd: 9-0

By my count, @SBWorkersUnited has won in 74 of 83 votes--an extraordinary winning rate of nearly 90%",[]
10,sjaeyuns,enhatan over anything . . . she/they,carrd byf,665,1388,24042,0,walked to starbucks on my break idk what to get,[]
11,MikeMay39928310,,,35,2,165,311,Starbucks will now directly pay for the killing of unborn human beings through abortion. https://t.co/1T1Z6GshZS,[]
12,DoctrFubar,I'll steal bread to feed your family,,1548,676,12375,204,Pretty messed up that @Starbucks continues to fire workers orrganizing for better conditions on the job. They just fired Billie from the store on Maple Street in New Orleans. https://t.co/TJiKzoRiA0,[]
13,subsonic20,What’s it to ya,Oregon,153,662,71353,679,"Iced coffee         unionizing Starbucks
                      🤝
             cool beans",[]
14,OverWeightThor,,"Florida, USA",120,56,1360,0,Another company I will not be buying products from @Starbucks. Your #woke ideology is going to lead to your demise. Paying your employees travel expenses for abortions will not happen with my money. #Starbucks #AbortionIsNotHealthcare,"['woke', 'Starbucks', 'AbortionIsNotHealthcare']"
15,kayjaleco,♎️ • level 26,6000,102,305,22647,940,Maybe Starbucks some flowers and a long ass nap will cheer me up,[]
16,kaailaani_,M🤍,the gym,326,623,18394,940,Maybe Starbucks some flowers and a long ass nap will cheer me up,[]
17,MommaRicch,Lifelong Democrat. Loathe Trump and what he did to our country. #Resistance. #Resist #GlovesOff #VoteBlue #TeamJustice #VoteBlue2022. No DMs.,Western NY,9121,8832,41120,0,@Abraxsys Starbucks,[]
18,user333429660,,garba ciise,242,223,12455,0,no man should have a longer starbucks order than me this is ridiculous https://t.co/ycV2YcBHOK,[]
19,TJDub14,Baseball. Star Wars. Communism.   He/Him #UniversityOfMontana #Marx #USMC #ACAB #BurnItAllDown,,3741,296,6595,679,"Iced coffee         unionizing Starbucks
                      🤝
             cool beans",[]
20,marissalanay,blessed,,91,91,582,940,Maybe Starbucks some flowers and a long ass nap will cheer me up,[]
21,bgaile714,independent Certified Optavia Health Coach,"Foley, AL",252,63,1622,0,@LifeNewsHQ @Starbucks Never,[]
22,scarletmonahan,"looking in-looking on,
making art, still trying to work out the difference between a smile & a grin
#sculptor #artist #poet #women #Satire #writer #animation",United Kingdom,23762,303423,255682,0,"Alans starbucks surprise, Frappe. https://t.co/TzWYXmI8Pi #starbucks #drivethrough #Takeaway #fridaynight #kfc #McDonalds #burgerking #Lockdown3 #lockdown #lockdownextension #Rnumber #animation #animated #Animatedvideos #QuarantineLife 3","['starbucks', 'drivethrough', 'Takeaway', 'fridaynight', 'kfc', 'McDonalds', 'burgerking', 'Lockdown3', 'lockdown', 'lockdownextension', 'Rnumber', 'animation', 'animated', 'Animatedvideos', 'QuarantineLife']"
23,imonicca,😛😈 : sc : monidiiz,"Kennewick, WA",183,58,2074,940,Maybe Starbucks some flowers and a long ass nap will cheer me up,[]
24,Strange79Lisa,,Peoria AZ,596,470,31236,0,"@RonFilipkowski Omg I am so sick of hearing about cancel culture, especially from the very party who does just that. Look at how they went crazy over Starbucks Christmas coffee cups?",[]
